segment_name,platform,reach,category,description,plain_english,code,frequency,window,icon_key
Black Friday Fans,Permutive,16255,Arts & Entertainment,This is a segment of users who have browsed for black friday content at least once at any point in time.,Occasionally browses black friday content,46777,O,All Time,arts-entertainment
St Patricks Day Fans,Permutive,115908,Food & Drink,This is a segment of users who have browsed for st patricks day content at least once at any point in time.,Occasionally browses st patricks day content,176597,O,All Time,food-drink
Toyota Fans,Permutive,27729,Auto,This is a segment of users who have browsed for toyota content at least 2 times at any point in time.,Regularly browses toyota content,10371,R,All Time,auto
Culture Seekers Fans,Permutive,1138802,Arts & Entertainment,This is a segment of users who have browsed for culture seekers content at least 2 times at any point in time.,Regularly browses culture seekers content,7778,R,All Time,arts-entertainment
Commuters Fans,Permutive,1532,Sports,This is a segment of users who have browsed for commuters content at least once at any point in time.,Occasionally browses commuters content,22733,O,All Time,sports
Roblox Fans Lookalike,Permutive,120464,Gaming,This is a lookalike segment based on the 'Roblox Fans' seed segment.,Occasionally browses related content,207703,O,All Time,gaming
Meat Alternatives Fans,Permutive,65080,Food and Drink,This is a segment of users who have browsed for meat alternatives content at any point in time.,Browses meat alternatives content,15356,,,food-and-drink
Popular Streaming Shows in 2025 Fans,Permutive,1182823,Arts & Entertainment,This is a segment of users who have browsed for popular streaming shows in 2025 content at any point in time.,Browses popular streaming shows in 2025 content,247727,,,arts-entertainment
Eid Fans,Permutive,58448,Food & Drink,This is a segment of users who have browsed for eid content at least once at any point in time.,Occasionally browses eid content,245867,O,All Time,food-drink
Spanish Fans,Permutive,1978,Food & Drink,This is a segment of users who have browsed for spanish content at least 2 times at any point in time.,Regularly browses spanish content,61298,R,All Time,food-drink
Carbonated Drinks Fans,Permutive,255802,Food & Drink,This is a segment of users who have browsed for carbonated drinks content at least once at any point in time.,Occasionally browses carbonated drinks content,270107,O,All Time,food-drink
Mario Kart Fans,Permutive,1535,Gaming,This is a segment of users who have browsed for mario kart content at least once at any point in time.,Occasionally browses mario kart content,207066,O,All Time,gaming
Audi Fans,Permutive,269421,Auto,This is a segment of users who have browsed for audi content at least 2 times at any point in time.,Regularly browses audi content,10364,R,All Time,auto
David Attenborough Fans,Permutive,56990,Arts & Entertainment,This is a segment of users who have browsed for david attenborough content at least once at any point in time.,Occasionally browses david attenborough content,8274,O,All Time,arts-entertainment
Second World War Lookalike,Permutive,189077,History Extra,This is a lookalike segment based on the 'Second World War Fans' seed segment.,Browses related content,241667,,,history-extra
Motorbike Fans,Permutive,47770,Auto,This is a segment of users who have browsed for motorbike content at least once at any point in time.,Occasionally browses motorbike content,238523,O,All Time,auto
Sports Packages Fans,Permutive,13834,Arts & Entertainment,This is a segment of users who have browsed for sports packages content at any point in time.,Browses sports packages content,247782,,,arts-entertainment
Stevenage Geolocation,Permutive,48685,Geo targeting,This is a segment of users who accessed our content from a Stevenage geolocation in the last 30 days.,Occasionally browses related content,212534,O,30 Days,geo-targeting
Motorbike Fans Lookalike,Permutive,353213,Auto,This is a lookalike segment based on the 'Motorbike Fans' seed segment.,Occasionally browses related content,239618,O,All Time,auto
Vitamin K Fans,Permutive,242,Food & Drink,This is a segment of users who have browsed for vitamin k content at least 2 times in the last 30 days.,Regularly browses vitamin k content,136057,R,30 Days,food-drink
Vitamin C Fans,Permutive,22330,Food & Drink,This is a segment of users who have browsed for vitamin c content at least 2 times in the last 30 days.,Regularly browses vitamin c content,136055,R,30 Days,food-drink
Holi Lookalike,Permutive,456077,Food & Drink,This is a lookalike segment based on the 'Holi Fans' seed segment.,Occasionally browses related content,256421,O,All Time,food-drink
Cholesterol-Friendly Lookalike,Permutive,168615,Food & Drink,This is a lookalike segment based on the 'Cholesterol-Friendly Fans' seed segment.,Regularly browses related content,31002,R,All Time,food-drink
Cinema Goers Fans,Permutive,232277,Arts & Entertainment,This is a segment of users who have browsed for cinema goers content at least once at any point in time.,Occasionally browses cinema goers content,27110,O,All Time,arts-entertainment
Jamie Oliver Fans Lookalike,Permutive,891120,Food & Drink,This is a lookalike segment based on the 'Jamie Oliver Fans' seed segment.,Occasionally browses related content,248733,O,All Time,food-drink
UKTV fans,Permutive,43584,Arts & Entertainment,This is a segment of users who have browsed for uktv fans content at least once at any point in time.,Occasionally browses uktv fans content,7400,O,All Time,arts-entertainment
Gluten Free -Food & Drink -Analytics-Food Diet Fans,Permutive,37295,Uncategorised,This is a segment of users who have browsed for gluten free -food & drink -analytics-food diet content at any point in time.,Browses gluten free -food & drink -analytics-food diet content,15335,,,uncategorised
Romantic Movies Fans,Permutive,2761,Arts & Entertainment,This is a segment of users who have browsed for romantic movies content at least once at any point in time.,Occasionally browses romantic movies content,219195,O,All Time,arts-entertainment
HE Podcast visitor Fans,Permutive,25434,History,This is a segment of users who have browsed for he podcast visitor content at least once at any point in time.,Occasionally browses he podcast visitor content,52225,O,All Time,history
Outer London & Suburban Geolocation,Permutive,887332,Geo targeting,This is a segment of users who accessed our content from a Outer London & Surburban in the last 30 days.,Regularly browses related content,247764,R,30 Days,geo-targeting
South East London Fans,Permutive,227363,Geo-targeting,This is a segment ofusers who accessed our content from a Christchurch geolocation in the last 30 days.,Browses related content,196967,,,geo-targeting
Pokemon franchise Fans,Permutive,89378,Gaming,This is a segment of users who have browsed for pokemon franchise content at least once at any point in time.,Occasionally browses pokemon franchise content,194382,O,All Time,gaming
Baking Lookalike,Permutive,2277375,Food & Drink,This is a lookalike segment based on the 'Baking Fans' seed segment.,Regularly browses related content,7813,R,All Time,food-drink
EE Fans,Permutive,66,Internet Service Provider,This is a segment of users who have browsed for ee content at least once in the last 30 days.,Occasionally browses ee content,164440,O,A30 days,internet-service-provider
Festive Food & Drink Planners Fans,Permutive,1334707,ATRIA,This is a segment of users who have browsed for festive food & drink planners content at any point in time.,Browses festive food & drink planners content,252165,,,atria
Budgeters Fans,Permutive,823040,GF,This is a segment of users who have browsed for budgeters content at any point in time.,Browses budgeters content,21664,,,gf
Last of US Fans - Crossover,Permutive,8671,Gaming,This is a segment of users who have browsed for last of us - crossover content at least once at any point in time.,Occasionally browses last of us - crossover content,194469,O,All Time,gaming
Wheels Fans,Permutive,50624,Sports,This is a segment of users who have browsed for wheels content at least once at any point in time.,Occasionally browses wheels content,6127,O,All Time,sports
Boxing 1P Fans,Permutive,86043,Uncategorised,This is a segment of users who have browsed for boxing 1p content at any point in time.,Browses boxing 1p content,36687,,,uncategorised
HBO Fans,Permutive,411529,Arts & Entertainment,This is a segment of users who have browsed for hbo content at least once at any point in time.,Occasionally browses hbo content,219170,O,All Time,arts-entertainment
Tech Savvy Gardeners Fans,Permutive,35097,Gardening,This is a segment of users who have browsed for tech savvy gardeners content at least once at any point in time.,Occasionally browses tech savvy gardeners content,220855,O,All Time,gardening
Star Wars Lookalike,Permutive,179463,Arts & Entertainment,This is a lookalike segment based on the 'Star Wars Fans' seed segment.,Regularly browses related content,162418,R,All Time,arts-entertainment
Zelda Fans,Permutive,5021,Gaming,This is a segment of users who have browsed for zelda content at least once at any point in time.,Occasionally browses zelda content,206906,O,All Time,gaming
Time Poor Cooks Fans,Permutive,1774971,Food & Drink,This is a segment of users who have browsed for time poor cooks content at least 5 times in the last 90 days.,Frequently browses time poor cooks content,43420,F,90 Days,food-drink
Olive Entertainmers Fans,Permutive,34295,Food & Drink,This is a segment of users who have browsed for olive entertainmers content at least once at any point in time.,Occasionally browses olive entertainmers content,10676,O,All Time,food-drink
God of War Fans Lookalike,Permutive,26078,Gaming,This is a lookalike segment based on the 'God of War Fans' seed segment.,Occasionally browses related content,219237,O,All Time,gaming
World Cup Fans,Permutive,11181,Arts & Entertainment,This is a segment of users who have browsed for world cup content at least 2 times at any point in time.,Regularly browses world cup content,7617,R,All Time,arts-entertainment
Premium Segment Fans,Permutive,3403756,Food & Drink,This is a segment of users who have browsed for premium segment content at least once in the last 90 days.,Occasionally browses premium segment content,270437,O,90 Days,food-drink
GF Fans,Permutive,4089194,Food & Drink,This is a segment of users who have browsed for gf content at least 5 times at any point in time.,Frequently browses gf content,11169,F,All Time,food-drink
British -Food & Drink -Analytics-Food Cuisine Fans,Permutive,511766,Uncategorised,This is a segment of users who have browsed for british -food & drink -analytics-food cuisine content at any point in time.,Browses british -food & drink -analytics-food cuisine content,15330,,,uncategorised
Exotic Fans,Permutive,28234,Food & Drink,This is a segment of users who have browsed for exotic content at least 2 times at any point in time.,Regularly browses exotic content,117053,R,All Time,food-drink
Huawei Fans,Permutive,2917,Device,This is a segment of users who have browsed for huawei content at least once at any point in time.,Occasionally browses huawei content,85614,O,All Time,device
School Aged Children Fans,Permutive,22038,Parenting,This is a segment of users who have browsed for school aged children content at least once at any point in time.,Occasionally browses school aged children content,6475,O,All Time,parenting
Healthy Breakfast Fans,Permutive,12447,Food & Drink,This is a segment of users who have browsed for healthy breakfast content at least 2 times at any point in time.,Regularly browses healthy breakfast content,47331,R,All Time,food-drink
Solihull Geolocation,Permutive,19985,Geo targeting,This is a segment of users who accessed our content from a Solihull geolocation in the last 30 days.,Occasionally browses related content,212469,O,30 Days,geo-targeting
Toyota competitor set - neg. review Fans,Permutive,4520,Auto,This is a segment of users who have browsed for toyota competitor set - neg. review content at least once at any point in time.,Occasionally browses toyota competitor set - neg. review content,239103,O,Current Session,auto
Phillips Hue 2021 Fans,Permutive,2,Uncategorised,This is a segment of users who have browsed for phillips hue 2021 content at any point in time.,Browses phillips hue 2021 content,83019,,,uncategorised
Bulbs and Seeds Lookalike,Permutive,559970,Gardening,This is a lookalike segment based on the 'Bulbs and Seeds Fans' seed segment.,Occasionally browses related content,220592,O,All Time,gardening
Tofu Fans,Permutive,12707,Food & Drink,This is a segment of users who have browsed for tofu content at least 5 times at any point in time.,Frequently browses tofu content,79519,F,All Time,food-drink
RT doctor who newsletter popup Fans,Permutive,103435,Uncategorised,This is a segment of users who have browsed for rt doctor who newsletter popup content at any point in time.,Browses rt doctor who newsletter popup content,40684,,,uncategorised
Cycling brands Fans,Permutive,67522,Sports,This is a segment of users who have browsed for cycling brands content at least once at any point in time.,Occasionally browses cycling brands content,33136,O,All Time,sports
Egg Free Fans,Permutive,4184531,Food & Drink,This is a segment of users who have browsed for egg free content at least 2 times at any point in time.,Regularly browses egg free content,22068,R,All Time,food-drink
TCG Pokemon Lookalike,Permutive,170192,Gaming,This is a lookalike segment based on the 'TCG Pokemon Fans' seed segment.,Occasionally browses related content,216708,O,All Time,gaming
Serves 5+ Fans,Permutive,4702522,Food & Drink,This is a segment of users who have browsed for serves 5+ content at least 2 times at any point in time.,Regularly browses serves 5+ content,19710,R,All Time,food-drink
Vodka Fans,Permutive,131366,Food & Drink,This is a segment of users who have browsed for vodka content at least 2 times at any point in time.,Regularly browses vodka content,22051,R,All Time,food-drink
Nuremberg Cast Fans Lookalike,Permutive,256610,Arts & Entertainment,This is a lookalike segment based on the 'Nuremberg Cast Fans' seed segment.,Occasionally browses related content,243241,O,All Time,arts-entertainment
News section visitors RT Fans,Permutive,14343,Gaming,This is a segment of users who have browsed for news section visitors rt content at least once at any point in time.,Occasionally browses news section visitors rt content,194160,O,All Time,gaming
Plants and Trees Fans,Permutive,243910,Gardening,This is a segment of users who have browsed for plants and trees content at least once at any point in time.,Occasionally browses plants and trees content,209464,O,All Time,gardening
HBO Fans Lookalike,Permutive,1214897,Arts & Entertainment,This is a lookalike segment based on the 'HBO Fans' seed segment.,Occasionally browses related content,219690,O,All Time,arts-entertainment
Sonic the Hedgehog - Crossover Fans,Permutive,1020,Arts & Entertainment,This is a segment of users who have browsed for sonic the hedgehog - crossover content at least once at any point in time.,Occasionally browses sonic the hedgehog - crossover content,206994,O,All Time,arts-entertainment
Thriller Novel Fans,Permutive,726884,Arts & Entertainment,This is a segment of users who have browsed for thriller novel content at least once at any point in time.,Occasionally browses thriller novel content,269231,O,All Time,arts-entertainment
Arts & Entertainment -War/Military Films & Shows Fans,Permutive,341570,Uncategorised,This is a segment of users who have browsed for arts & entertainment -war/military films & shows content at least once at any point in time.,Occasionally browses arts & entertainment -war/military films & shows content,186572,O,All Time,uncategorised
Confectionary/Sweets/Desserts Fans,Permutive,340241,Food & Drink,This is a segment of users who have browsed for confectionary/sweets/desserts content at any point in time.,Browses confectionary/sweets/desserts content,248468,,,food-drink
Sports Games Lookalike,Permutive,396350,Gaming,This is a lookalike segment based on the 'Sports Games Fans' seed segment.,Occasionally browses related content,208349,O,All Time,gaming
Last of US Fans - Crossover Lookalike,Permutive,15129,Gaming,This is a lookalike segment based on the 'Last of US - Crossover Fans' seed segment.,Occasionally browses related content,207708,O,All Time,gaming
York Geolocation,Permutive,35343,Geo targeting,This is a segment of users who accessed our content from a York geolocation in the last 30 days.,Occasionally browses related content,185986,O,30 Days,geo-targeting
Downton Abbey Fans,Permutive,48462,Arts & Entertainment,This is a segment of users who have browsed for downton abbey content at least once at any point in time.,Occasionally browses downton abbey content,25105,O,All Time,arts-entertainment
Holi Fans,Permutive,1773,Food & Drink,This is a segment of users who have browsed for holi content at least once at any point in time.,Occasionally browses holi content,245872,O,All Time,food-drink
Hosters Fans,Permutive,1135419,Food & Drink,This is a segment of users who have browsed for hosters content at least 2 times at any point in time.,Regularly browses hosters content,6669,R,All Time,food-drink
Irish Cuisine Fans,Permutive,38869,Food & Drink,This is a segment of users who have browsed for irish cuisine content at any point in time.,Browses irish cuisine content,256496,,,food-drink
Sugar-Free Fans,Permutive,3273190,Food & Drink,This is a segment of users who have browsed for sugar-free content at least 2 times at any point in time.,Regularly browses sugar-free content,21602,R,All Time,food-drink
Fast Food Fans Lookalike,Permutive,1249184,Food & Drink,This is a lookalike segment based on the 'Fast Food Fans' seed segment.,Occasionally browses related content,229754,O,All Time,food-drink
Golden Syrup Fans,Permutive,2050427,Food & Drink,This is a segment of users who have browsed for golden syrup content at least 2 times at any point in time.,Regularly browses golden syrup content,18781,R,All Time,food-drink
Time Poor Gardeners Fans,Permutive,112926,Gardening,This is a segment of users who have browsed for time poor gardeners content at least once at any point in time.,Occasionally browses time poor gardeners content,220854,O,All Time,gardening
Gut-Friendly Lookalike,Permutive,126668,Food & Drink,This is a lookalike segment based on the 'Gut-Friendly Fans' seed segment.,Occasionally browses related content,21656,O,All Time,food-drink
Grand Theft Auto Franchise Fans Lookalike,Permutive,169139,Gaming,This is a lookalike segment based on the 'Grand Theft Auto Franchise Fans' seed segment.,Occasionally browses related content,207706,O,All Time,gaming
Christmas Convenience Seekers Fans,Permutive,441995,Food & Drink,This is a segment of users who have browsed for christmas convenience seekers content at least once at any point in time.,Occasionally browses christmas convenience seekers content,252847,O,All Time,food-drink
Reviews content fans,Permutive,21636,Gaming,This is a segment of users who have browsed for reviews content at least once at any point in time.,Occasionally browses reviews content,194278,O,All Time,gaming
Disney+ Fans,Permutive,398325,Arts & Entertainment,This is a segment of users who have browsed for disney+ content at least once at any point in time.,Occasionally browses disney+ content,249111,O,All Time,arts-entertainment
True Crime Lookalike,Permutive,315973,Arts & Entertainment,This is a lookalike segment based on the 'True Crime Fans' seed segment.,Regularly browses related content,123160,R,All Time,arts-entertainment
Table Sauces Fans,Permutive,67606,Food & Drink,This is a segment of users who have browsed for table sauces content at least once in the last 90 days.,Occasionally browses table sauces content,217967,O,90 Days,food-drink
Easy & Healthy Snackers Fans,Permutive,21431,Food & Drink,This is a segment of users who have browsed for easy & healthy snackers content at least 2 times at any point in time.,Regularly browses easy & healthy snackers content,41707,R,All Time,food-drink
Thai Fans,Permutive,301720,Food & Drink,This is a segment of users who have browsed for thai content at least 2 times at any point in time.,Regularly browses thai content,8512,R,All Time,food-drink
Milk Alternatives Fans,Permutive,571549,Food & Drink,This is a segment of users who have browsed for milk alternatives content at least once at any point in time.,Occasionally browses milk alternatives content,30074,O,All Time,food-drink
Occasional Easy skill level savoury recipe bakers Fans,Permutive,32775,Food & Drink,This is a segment of users who have browsed for occasional easy skill level savoury recipe bakers content at least once at any point in time.,Occasionally browses occasional easy skill level savoury recipe bakers content,25758,O,6 Months,food-drink
Urban Music Fans Lookalike,Permutive,907645,Arts & Entertainment,This is a lookalike segment based on the 'Urban Music Fans' seed segment.,Occasionally browses related content,221397,O,All Time,arts-entertainment
Dinner Fans,Permutive,3435915,Food & Drink,This is a segment of users who have browsed for dinner content at least 2 times in the last 90 days.,Regularly browses dinner content,163574,R,90 Days,food-drink
TCG Pokemon Fans,Permutive,1781,Gaming,This is a segment of users who have browsed for tcg pokemon content at least once at any point in time.,Occasionally browses tcg pokemon content,207582,O,All Time,gaming
Everyone Fans,Permutive,16166690,Uncategorised,This is a segment of users who have browsed for everyone content at any point in time.,Browses everyone content,5729,,,uncategorised
SWR Postcodes Geolocation,Permutive,791458,Geo Targeting,This is a segment of users who accessed our content from a SWR Postcodes geolocation in the last 30 days.,Occasionally browses related content,222022,O,30 Days,geo-targeting
Coventry Geolocation,Permutive,83085,Geo targeting,This is a segment of users who accessed our content from a Coventry geolocation in the last 30 days.,Occasionally browses related content,185981,O,30 Days,geo-targeting
RT football newsletter popup Fans,Permutive,360964,Uncategorised,This is a segment of users who have browsed for rt football newsletter popup content at any point in time.,Browses rt football newsletter popup content,40681,,,uncategorised
Conception Lookalike,Permutive,100907,Parenting,This is a lookalike segment based on the 'Conception Fans' seed segment.,Occasionally browses related content,87239,O,All Time,parenting
Wellness & New Year Resolution Starters Fans,Permutive,306583,ATRIA,This is a segment of users who have browsed for wellness & new year resolution starters content at any point in time.,Browses wellness & new year resolution starters content,252168,,,atria
Christopher Nolan Fans,Permutive,29122,Arts & Entertainment,This is a segment of users who have browsed for christopher nolan content at least once at any point in time.,Occasionally browses christopher nolan content,148359,O,All Time,arts-entertainment
Syrup Fans,Permutive,750982,Food & Drink,This is a segment of users who have browsed for syrup content at least once in the last 90 days.,Occasionally browses syrup content,183236,O,90 Days,food-drink
Shoes Fans,Permutive,8759,Sports,This is a segment of users who have browsed for shoes content at least once at any point in time.,Occasionally browses shoes content,6181,O,All Time,sports
Chinese New Year Fans,Permutive,99050,Food & Drink,This is a segment of users who have browsed for chinese new year content at least once at any point in time.,Occasionally browses chinese new year content,168092,O,All Time,food-drink
Zwift Fans,Permutive,71,Sports,This is a segment of users who have browsed for zwift content at least once at any point in time.,Occasionally browses zwift content,10289,O,All Time,sports
Baby Content Fans,Permutive,287134,Parenting,This is a segment of users who have browsed for baby content content at least once at any point in time.,Occasionally browses baby content,25194,O,All Time,parenting
Gathered Fans,Permutive,90,Interest,This is a segment of users who have browsed for gathered content at least once at any point in time.,Occasionally browses gathered content,30968,O,All Time,interest
Hosters at Christmas Fans,Permutive,190891,Food & Drink,This is a segment of users who have browsed for hosters at christmas content at least 2 times at any point in time.,Regularly browses hosters at christmas content,12793,R,All Time,food-drink
Frozen Food Fans,Permutive,37093,Food & Drink,This is a segment of users who have browsed for frozen food content at least once in the last 90 days.,Occasionally browses frozen food content,216111,O,90 Days,food-drink
Sports fans,Permutive,708998,Arts & Entertainment,This is a segment of users who have browsed for sports fans content at least once at any point in time.,Occasionally browses sports fans content,25588,O,All Time,arts-entertainment
Napolina HP Fans,Permutive,39,Native Tracking,This is a segment of users who have browsed for napolina hp content at least once at any point in time.,Occasionally browses napolina hp content,10078,O,All Time,native-tracking
Explainers visitors RT Fans,Permutive,300743,Gaming,This is a segment of users who have browsed for explainers visitors rt content at least once at any point in time.,Occasionally browses explainers visitors rt content,194373,O,All Time,gaming
Peas Fans,Permutive,7740,Food & Drink,This is a segment of users who have browsed for peas content at least once at any point in time.,Browses peas content,8975,,,food-drink
Spicy Food Fans,Permutive,3530714,Food & Drink,This is a segment of users who have browsed for spicy food content at least once at any point in time.,Occasionally browses spicy food content,27094,O,All Time,food-drink
Assassin's Creed Fans,Permutive,2373,Gaming,This is a segment of users who have browsed for assassin's creed content at least once at any point in time.,Occasionally browses assassin's creed content,206787,O,All Time,gaming
Eid Lookalike,Permutive,368031,Food & Drink,This is a lookalike segment based on the 'Eid Fans' seed segment.,Occasionally browses related content,256420,O,All Time,food-drink
Football Documentaries Fans Lookalike,Permutive,157362,Arts & Entertainment,This is a lookalike segment based on the 'Football Documentaries Fans' seed segment.,Occasionally browses related content,210370,O,All Time,arts-entertainment
Gin Fans Lookalike,Permutive,491815,Food & Drink,This is a lookalike segment based on the 'Gin Fans' seed segment.,Regularly browses related content,166549,R,All Time,food-drink
BBC Good Food Annoymous User Fans,Permutive,7434767,Uncategorised,This is a segment of users who have browsed for bbc good food annoymous user content at any point in time.,Browses bbc good food annoymous user content,15760,,,uncategorised
World Cup Lookalike,Permutive,195058,Arts & Entertainment,This is a lookalike segment based on the 'World Cup Fans' seed segment.,Regularly browses related content,135514,R,All Time,arts-entertainment
Sonic the Hedgehog - Crossover Lookalike,Permutive,101503,Arts & Entertainment,This is a lookalike segment based on the 'Sonic the Hedgehog - Crossover Fans' seed segment.,Occasionally browses related content,216776,O,All Time,arts-entertainment
Jaguar Fans,Permutive,576022,Auto,This is a segment of users who have browsed for jaguar content at least once at any point in time.,Occasionally browses jaguar content,19801,O,All Time,auto
Family Foodies Olive Fans,Permutive,40064,Food & Drink,This is a segment of users who have browsed for family foodies olive content at least once at any point in time.,Occasionally browses family foodies olive content,10674,O,All Time,food-drink
BT TV Customers,AP,2759467,Arts & Entertainment,We define these users as those who pay for a BT entertainment package,Pay for a BT entertainment package,ap_x 10417,,,arts-entertainment
Amazon prime subscribers,AP,8931711,Arts & Entertainment,We define these users as those who are subscribed to Amazon Prime,Are subscribed to Amazon Prime,ap_x 10472,,,arts-entertainment
Now TV subscribers,AP,481391,Arts & Entertainment,We define these users as those who are likely to be NowTV subscribers,Are likely to be NowTV subscribers,ap_x 10480,,,arts-entertainment
Christmas hosters,AP,6840010,Food & Drink,We define these users as those who host Christmas day,Host Christmas day,ap_x 13617,,,food-drink
Cat owners,AP,10996165,Pet Owner,We define these users as those who are cat owners,Are cat owners,ap_x 13618,,,pet-owner
Dog owners,AP,11735094,Pet Owner,We define these users as those who are dog owners,Are dog owners,ap_x 13619,,,pet-owner
Auto intenders,AP,755981,Auto,We define these users as those who intends on purchasing a new car,Intends on purchasing a new car,ap_x 14049,,,auto
Online music streamers,AP,6341835,Arts & Entertainment,We define these users as those who likely pay for an online music streaming service,Likely pay for an online music streaming service,ap_x 14054,,,arts-entertainment
Commercial vehicle owner,AP,416259,Auto,We define these users as those who own a commercial vehicle or van,Own a commercial vehicle or van,ap_x 14062,,,auto
Phone upgrade intenders,AP,5074393,Purchase intenders,We define these users as those who are likely to be in market for a phone upgrade,Are likely to be in market for a phone upgrade,ap_x 14209,,,purchase-intenders
Tesco shoppers,AP,20990370,Food & Drink,We define these users as those who are likely to primarily shop at Tesco,Are likely to primarily shop at Tesco,ap_x 14211,,,food-drink
Waitrose shoppers,AP,2820809,Food & Drink,We define these users as those who are most likely to shop regularly at Waitrose,Are most likely to shop regularly at Waitrose,ap_x 14212,,,food-drink
M&S shoppers,AP,2031569,Food & Drink,We define these users as those who are likely to primarily shop at M&S,Are likely to primarily shop at M&S,ap_x 14214,,,food-drink
Aldi shoppers,AP,23949459,Food & Drink,We define these users as those who prefer to shop at Aldi,Prefer to shop at Aldi,ap_x 14219,,,food-drink
Morrisons shoppers,AP,9762571,Food & Drink,We define these users as those who are likely to primarily shop at Tesco,Are likely to primarily shop at Tesco,ap_x 14220,,,food-drink
Asda shoppers,AP,7853818,Food & Drink,We define these users as those who prefer to shop at Asda,Prefer to shop at Asda,ap_x 14223,,,food-drink
CO-OP Shoppers,AP,1838087,Food & Drink,We define these users as those who prefer shopping at Co-Op,Prefer shopping at Co-Op,ap_x 14224,,,food-drink
Iceland shoppers,AP,339786,Food & Drink,We define these users as those who are likely to primarily shop at Iceland,Are likely to primarily shop at Iceland,ap_x 14227,,,food-drink
Freeview viewers,AP,15273560,Arts & Entertainment,We define these users as those who are likely to be freeview customers,Are likely to be freeview customers,ap_x 14321,,,arts-entertainment
Drama TV fans,AP,12460776,Arts & Entertainment,We define these users as those who prefer watching drama TV,Prefer watching drama TV,ap_x 14527,,,arts-entertainment
Beach holiday goers,AP,11977692,Holiday intenders,We define these users as those who prefer beach holidays,Prefer beach holidays,ap_x 15142,,,holiday-intenders
City break goers,AP,5610230,Holiday intenders,We define these users as those who prefer going on city breaks,Prefer going on city breaks,ap_x 15143,,,holiday-intenders
Countryside break goers,AP,8446441,Holiday intenders,We define these users as those who prefer going on countryside breaks,Prefer going on countryside breaks,ap_x 15144,,,holiday-intenders
Cruise goers,AP,2242657,Holiday intenders,We define these users as those who prefer cruise breaks,Prefer cruise breaks,ap_x 15145,,,holiday-intenders
Activity/sporting/skiing holiday goers,AP,1839229,Holiday intenders,We define these users as those who prefer going on activity/sporting/skiing holidays,Prefer going on activity/sporting/skiing holidays,ap_x 15146,,,holiday-intenders
Black Friday - Tech Purchasers,AP,11210655,Black Friday,We define these users as those who plan to make tech purchases on Black Friday,Plan to make tech purchases on Black Friday,ap_x 15386,,,black-friday
Garden renovation intenders,AP,24214077,Home Renovation,We define these users as those who are likely to be renovating their garden soon,Are likely to be renovating their garden soon,ap_x 15393,,,home-renovation
Bathroom renovation intenders,AP,6258440,Home Renovation,We define these users as those who intend on renovating their bathroom,Intend on renovating their bathroom,ap_x 15395,,,home-renovation
Sainsburys shoppers,AP,6260294,Food & Drink,We define these users as those who are likely to primarily shop at Sainsbury's,Are likely to primarily shop at Sainsbury's,ap_x 15398,,,food-drink
Sky TV customers,AP,18300948,Arts & Entertainment,We define these users as those who are likely to be Sky TV customers,Are likely to be Sky TV customers,ap_x 15404,,,arts-entertainment
Virgin TV customers,AP,9950794,Arts & Entertainment,We define these users as those who are likely to be Virgin TV customers,Are likely to be Virgin TV customers,ap_x 15405,,,arts-entertainment
Talk Talk TV customers,AP,2487903,Arts & Entertainment,We define these users as those who are likely to be TalkTalk TV customers,Are likely to be TalkTalk TV customers,ap_x 15406,,,arts-entertainment
Netflix subscribers,AP,20891119,Arts & Entertainment,We define these users as those who are likely to have a Netflix subscription,Are likely to have a Netflix subscription,ap_x 15407,,,arts-entertainment
Christmas guests,AP,4940304,Food & Drink,We define these users as those who spends Christmas day as a guest,Spends Christmas day as a guest,ap_x 15409,,,food-drink
Dine out on Christmas day,AP,2825074,Food & Drink,We define these users as those who likely enjoy eating out at Christmas,Likely enjoy eating out at Christmas,ap_x 15410,,,food-drink
Online food shoppers,AP,16550385,Food & Drink,We define these users as those who are likely to regularly shop online for groceries (high accuracy),Are likely to regularly shop online for groceries (high accuracy),ap_x 15418,,,food-drink
Cat & Dog Owners,AP,1640360,Pet Owner,We define these users as those who own a cat or dog,Own a cat or dog,ap_x 15419,,,pet-owner
Auto intenders - next 3 months,AP,1934351,Auto,We define these users as those who intend on purchasing a new car in the next 3 months,Intend on purchasing a new car in the next 3 months,ap_x 15422,,,auto
Auto intenders - next 6 months,AP,2824247,Auto,We define these users as those who intend on purchasing a new car in the next 6 months,Intend on purchasing a new car in the next 6 months,ap_x 15423,,,auto
Auto intenders - next 2-3 years,AP,12352235,Auto,We define these users as those who intend on purchasing a new car in the next 2-3 years,Intend on purchasing a new car in the next 2-3 years,ap_x 15425,,,auto
Company car users,AP,6654489,Auto,We define these users as those who are likely to have a company car,Are likely to have a company car,ap_x 15427,,,auto
Spotify subscribers,AP,16006252,Arts & Entertainment,We define these users as those who are likely to have a Spotify membership,Are likely to have a Spotify membership,ap_x 15428,,,arts-entertainment
Amazon music subscribers,AP,12560556,Arts & Entertainment,We define these users as those who are subscribed to Amazon Music,Are subscribed to Amazon Music,ap_x 15429,,,arts-entertainment
Google play music subscribers,AP,2260400,Arts & Entertainment,We define these users as those who are likely to be Google Play music subscribers,Are likely to be Google Play music subscribers,ap_x 15431,,,arts-entertainment
